tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88C0043'. Expected 'lv.s        S303, 0x40($a0)', got 'lv.s        0x6C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88D0043'. Expected 'lv.s        S313, 0x40($a0)', got 'lv.s        0x6D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88E0043'. Expected 'lv.s        S323, 0x40($a0)', got 'lv.s        0x6E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC88F0043'. Expected 'lv.s        S333, 0x40($a0)', got 'lv.s        0x6F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8900043'. Expected 'lv.s        S403, 0x40($a0)', got 'lv.s        0x70, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8910043'. Expected 'lv.s        S413, 0x40($a0)', got 'lv.s        0x71, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8920043'. Expected 'lv.s        S423, 0x40($a0)', got 'lv.s        0x72, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8930043'. Expected 'lv.s        S433, 0x40($a0)', got 'lv.s        0x73, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8940043'. Expected 'lv.s        S503, 0x40($a0)', got 'lv.s        0x74, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8950043'. Expected 'lv.s        S513, 0x40($a0)', got 'lv.s        0x75, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8960043'. Expected 'lv.s        S523, 0x40($a0)', got 'lv.s        0x76, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8970043'. Expected 'lv.s        S533, 0x40($a0)', got 'lv.s        0x77, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8980043'. Expected 'lv.s        S603, 0x40($a0)', got 'lv.s        0x78, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC8990043'. Expected 'lv.s        S613, 0x40($a0)', got 'lv.s        0x79, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89A0043'. Expected 'lv.s        S623, 0x40($a0)', got 'lv.s        0x7A, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89B0043'. Expected 'lv.s        S633, 0x40($a0)', got 'lv.s        0x7B, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89C0043'. Expected 'lv.s        S703, 0x40($a0)', got 'lv.s        0x7C, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89D0043'. Expected 'lv.s        S713, 0x40($a0)', got 'lv.s        0x7D, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89E0043'. Expected 'lv.s        S723, 0x40($a0)', got 'lv.s        0x7E, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xC89F0043'. Expected 'lv.s        S733, 0x40($a0)', got 'lv.s        0x7F, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8800040'. Expected 'lv.q        C000, 0x40($a0)', got 'lv.q        0x0, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8810040'. Expected 'lv.q        C010, 0x40($a0)', got 'lv.q        0x1, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8820040'. Expected 'lv.q        C020, 0x40($a0)', got 'lv.q        0x2, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8830040'. Expected 'lv.q        C030, 0x40($a0)', got 'lv.q        0x3, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8840040'. Expected 'lv.q        C100, 0x40($a0)', got 'lv.q        0x4, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8850040'. Expected 'lv.q        C110, 0x40($a0)', got 'lv.q        0x5, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8860040'. Expected 'lv.q        C120, 0x40($a0)', got 'lv.q        0x6, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8870040'. Expected 'lv.q        C130, 0x40($a0)', got 'lv.q        0x7, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8880040'. Expected 'lv.q        C200, 0x40($a0)', got 'lv.q        0x8, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8890040'. Expected 'lv.q        C210, 0x40($a0)', got 'lv.q        0x9, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88A0040'. Expected 'lv.q        C220, 0x40($a0)', got 'lv.q        0xA, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88B0040'. Expected 'lv.q        C230, 0x40($a0)', got 'lv.q        0xB, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88C0040'. Expected 'lv.q        C300, 0x40($a0)', got 'lv.q        0xC, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88D0040'. Expected 'lv.q        C310, 0x40($a0)', got 'lv.q        0xD, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88E0040'. Expected 'lv.q        C320, 0x40($a0)', got 'lv.q        0xE, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD88F0040'. Expected 'lv.q        C330, 0x40($a0)', got 'lv.q        0xF, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8900040'. Expected 'lv.q        C400, 0x40($a0)', got 'lv.q        0x10, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8910040'. Expected 'lv.q        C410, 0x40($a0)', got 'lv.q        0x11, 0x40($a0)'
tests/c/instruction_checks/r4000allegrex_vfpu_disasm.c: Error on word '0xD8920040'. Expected 'lv.q        C420, 0x40($a0)', got 'lv.q        0x12, 0x40($a0)'
